Carrera,Escuela,Direccion,Latitud,Longitud
Diseño,IP DE CHILE,Av. República 285,"-33,451958","-70,667535"
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Diagonal Las Torres 2640,"-33,486212","-70,520975"
Diseño,UNIVERSIDAD CATÓLICA,Avda. El Comendador 1916,"-33,420252","-70,618093"
Diseño,UNIVERSIDAD DE TALCA,2 Norte 685,"-35,425552","-71,645105"
Diseño,UNIVERSIDAD DEL DESARROLLO,Av. Plaza 700,"-33,50042","-70,561479"
Diseño,UNIVERSIDAD DEL DESARROLLO,Ainavillo 456,"-36,821529","-73,037033"
Diseño,UNIVERSIDAD DIEGO PORTALES,Av. República 180,"-33,450698","-70,667505"
Diseño,UNIVERSIDAD FINIS TERRAE,Av. Pedro de Valdivia 1224,"-33,434233","-70,608479"
Diseño (NN),UACH,"Independencia 641, Valdivia, Región de los Ríos, Chile","-39,815468","-73,247378"
Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,Av. Ricardo Lyon 1177,"-33,431892","-70,606076"
Diseño de Ambiente,IP DUOC UC,Alameda esquina Av. España,"-33,448918","-70,670085"
Diseño de Ambiente,IP DUOC UC,Camino El Alba 12881,"-33,399655","-70,506355"
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",Av. Salvador 1200,"-33,444341",-70623268
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,"-33,378727","-70,528683"
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,Fernández Concha 700,"-33,374903","-70,505396"
Diseño de Moda,IP INACAP,"Av, Francisco de Aguirre 389","-29,906009","-71,252"
Diseño de Moda,IP INACAP,Apoquindo Ote. 7282,"-33,408257","-70,55338"
Diseño de Moda,IP INACAP,Luis Durand 02150,"-38,725414","-72,630158"
Diseño de Vestuario,IP DUOC UC,Camino El Alba 12881,"-33,399655","-70,506355"
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Triana 820,"-33,433096","-70,624538"
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,Av. Las Condes 11121,"-33,378727","-70,528683"
Diseño de Vesturaio, Moldaje y Confección,CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Santo Domingo 1083,"-33,436268","-70,652528"
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Dieciocho 161,"-33,448481","-70,657966"
Diseño Gráfico,IP AIEP,Yungay 1582,"-32,750188","-70,71989"
Diseño Gráfico,IP AIEP,"Ejercito 49, Barrio República","-33,447539","-70,661556"
Diseño Gráfico,IP AIEP,Triana 820,"-33,433096",-70624538
Diseño Gráfico,IP AIEP,Cuevas 70,"-34,169922","-70,735734"
Diseño Gráfico,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile","-36,828417","-73,054955"
Diseño Gráfico,IP DUOC UC,Alvarez 2366 Chorrillos,"-33,033689","-71,533184"
Diseño Gráfico,IP DUOC UC,Camino El Alba 12881,"-33,399655","-70,506355"
Diseño Gráfico,IP DUOC UC,Froilán Roa 7107 Mall Plaza Vespucio,"-33,517598","-70,598089"
Diseño Gráfico,IP DUOC UC,Av Américo Vespucio 1501 Mall Plaza Oest,"-33,516058","-70,716103"
Diseño Gráfico,IP DUOC UC, Paicaví 3280 (Sector Rotonda El Trébol),"-36,797162","-73,062708"
Diseño Gráfico,IP SANTO TOMAS,Ruta 5 Norte 1068,"-29,908667","-71,257226"
Diseño Gráfico,IP SANTO TOMAS,Vicuña Mackenna 4835,"-33,496419","-70,61684"
Diseño Gráfico,IP SANTO TOMAS,Avenida Carlos Schorr # 255,"-35,429015","-71,673172"
Diseño Gráfico,IP SANTO TOMAS,"Avenida Prat # 879, Concepción","-36,826503","-73,061627"
Diseño Gráfico,IP SANTO TOMAS,Av. Ramon Picarte 1160,"-39,817491","-73,233502"
Diseño Gráfico,IP SANTO TOMAS,"Buena Vecindad 91, Puerto Montt, X Región, Chile","-41,471524","-72,928832"
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Brasil 2950,"-33,044542","-71,606263"
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO," Quillota 980, Viña del Mar, Región de Valparaíso","-33,014389","-71,543464"
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,Av. Las Condes 11121,"-33,378727","-70,528683"
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,Av. Alemania 0422,"-38,735801","-72,607459"
Diseño Gráfico,UNIVERSIDAD DE CHILE,"Av Portugal 84, Santiago, Región Metropolitana, Chile","-33,442279","-70,638175"
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,Av. Manuel Montt 948,"-33,436895","-70,616137"
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO," Av. Casilla 5-C, Collao 1202","-36,822781","-73,011506"
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,"-33,378727","-70,528683"
Diseño Gráfico Computacional,CFT ICEL,Alameda 2520,"-33,44908","-70,671854"
Diseño Gráfico Computacional,CFT ICEL,Av. Pajaritos 4650,"-33,479591","-70,743802"
Diseño Gráfico Profesional,IP AIEP,"Ejercito 49, Barrio República","-33,447539","-70,661556"
Diseño Gráfico Profesional,IP AIEP,Triana 820,"-33,433096","-70,624538"
Diseño Gráfico Profesional,IP AIEP,Cuevas 70,"-34,169922","-70,735734"
Diseño Gráfico Profesional,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile","-36,828417","-73,054955"
Diseño Gráfico Profesional,IP AIEP,"Ejército 200, Puerto Montt, X Región, Chile","-41,470124","-72,935396"
Diseño Gráfico Profesional,IP INACAP,Av. La Tirana 4310,"-20,272158","-70,126249"
Diseño Gráfico Profesional,IP INACAP,"Av, Francisco de Aguirre 389","-29,906009","-71,252"
Diseño Gráfico Profesional,IP INACAP,Apoquindo 7282,"-33,408257","-70,55338"
Diseño Gráfico Profesional,IP INACAP,Brown Norte 290,"-33,452686","-70,591842"
Diseño Gráfico Profesional,IP INACAP,Av. Concha y Toro 2730,"-33,585932","-70,580677"
Diseño Gráfico Profesional,IP INACAP,Av. Nelson Pereira 2519,"-34,136379","-70,740001"
Diseño Gráfico Profesional,IP INACAP,Ruta 5 6,"-34,978927","-71,210928"
Diseño Gráfico Profesional,IP INACAP,Luis Durand 02150,"-38,725414","-72,630158"
Diseño Gráfico Profesional,IP INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile","-40,581275","-73,111407"
Diseño Gráfico Profesional,IP INACAP,"Av Bulnes km 4 Norte","-53,131432","-70,911705"
Diseño Gráfico Profesional ,IP INACAP,Santa María 2190,"-18,47005","-70,30431"
Diseño Gráfico Publicitario,IP LOS LEONES,"Arturo Prat 269, Santiago, Región Metropolitana, Chile","-33,448555","-70,649531"
Diseño Industrial,IP DUOC UC,Álvarez 2336,"-33,033689","-71,533184"
Diseño Industrial,IP DUOC UC,Camino El Alba 12881,"-33,399655","-70,506355"
Diseño Industrial,IP DUOC UC,Av Américo Vespucio 1501 Mall Plaza Oeste,"-33,516058","-70,716103"
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Brasil 2950,"-33,044542","-71,606263"
Diseño Industrial,UNIVERSIDAD DE CHILE,"Av Portugal 84, Santiago, Región Metropolitana, Chile","-33,442279","-70,638175"
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Dieciocho 161,"-33,448481","-70,657966"
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Benavente 980,"-29,909163","-71,246865"
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,Portugal 351,"-33,447138","-70,635533"
Diseño Multimedia,UNIVERSIDAD DE TARAPACA, Avenida General Velásquez 1775,"-18,470976","-70,311415"
Diseño Teatral,CFT DEL MEDIO AMBIENTE,Compañía 1264,"-33,439084","-70,654721"
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Av. Las Condes 11121,"-33,378727",-70528683
Diseño Web & Mobile,CFT INACAP,Apoquindo 7282,"-33,408257","-70,55338"
Diseño y Producción Gráfica,CFT INACAP,Santa María 2190 ,"-18,47005","-70,30431"
Diseño y Producción Gráfica,CFT INACAP,Av. La Tirana 4310,"-20,272158","-70,126249"
Diseño y Producción Gráfica,CFT INACAP,Av - Francisco de Aguirre 389,"-29,906009","-71,252"
Diseño y Producción Gráfica,CFT INACAP,Apoquindo 7282,"-33,408257","-70,55338"
Diseño y Producción Gráfica,CFT INACAP,Brown Norte 290,"-33,452686","-70,591842"
Diseño y Producción Gráfica,CFT INACAP,Av. Concha y Toro 2730,"-33,585932","-70,580677"
Diseño y Producción Gráfica,CFT INACAP,Av. Nelson Pereira 2519,"-34,136379","-70,740001"
Diseño y Producción Gráfica,CFT INACAP,Ruta 5 6,"-34,978927","-71,210928"
Diseño y Producción Gráfica,CFT INACAP,Luis Durand 02150,"-38,725414","-72,630158"
Diseño y Producción Gráfica,CFT INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile","-40,581275","-73,111407"
Diseño y Producción Gráfica,CFT INACAP,"Av Bulnes km 4 Norte","-53,131432","-70,911705"
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Río Copiapó Sur #2351,-27351285,"-70,353583"
